Nome,Unità di misura,Contatore usi
Mirtillo o frutti di bosco (opzionale per servire),Manciata,1
Mirtillo puro in polvere,Cucchiaino,2
Mirtillo rosso il succo,ml,1
Mirtillo secchi,g,1
Mirtillo succo,ml,1
Miso,Cucchiaino,3
Misticanza,g,2
Mollica,g,5
Mollica  di pane casereccio,Unità,1
Mollica di pane (anche raffermo),g,2
Mollica di pane in briciole,g,1
"Mollica di panne, sbriciolata",g,1
Montasio semistagionato,g,1
Mora,g,9
Mora di rovo,g,1
Mora fresche,Unità,1
Mortadella,Unità,10
Mortadella  Bologna,g,2
Mortadella Bologna,g,1
Mortadella a cubetti,g,1
Mortadella affettata,g,1
Mortadella tagliata a fette,Unità,1
Moscardino,g,9
Mozarella,g,1
Mozarella fiordilatte,g,1
Mozzarella,Unità,69
Mozzarella a cubetti,Unità,1
Mozzarella bocconcini,g,2
Mozzarella ciliegiene,Unità,1
Mozzarella ciliegina,g,2
Mozzarella ciliegine,Unità,7
Mozzarella da 250 g,Unità,1
Mozzarella di bufala,Unità,2
Mozzarella fior di latte,Unità,14
Mozzarella fiordialatte,g,1
Mozzarella fiordilatta,g,2
Mozzarella fiordilatte,Unità,36
Mozzarella per pizza,g,3
Mozzarella tipo fiordilatte,g,2
Mozzarelline,g,1
Musetto,Unità,1
Nasello,g,1
Nasello di piccola pezzatura,g,3
Nespola sbucciate e denocciolate,g,1
Nocciola,g,15
Nocciola  tostate e pelate,g,1
Nocciola al netto degli scarti,g,1
Nocciola granella,Unità,12
Nocciola in granella,Unità,7
Nocciola in pasta,Cucchiai,1
Nocciola intere,Manciata,3
Nocciola per decorare,Unità,1
Nocciola pralinata,g,1
Nocciola ricoperta di cioccolato,Unità,1
Nocciola sgusciate,g,4
Nocciola sgusciate e spellate,g,1
Nocciola sgusciate e tostate,g,3
Nocciola sgusciate senza pelle,g,1
Nocciola spellatate e tostate,g,1
Nocciola spellate,g,1
Nocciola tostata e tritata,Unità,1
Nocciola tostate,Manciata,9
Nocciola tostate (o altre mandorle ),g,1
Nocciola tostate in granella,g,1
Nocciola tritate,g,1
Noce,Unità,2
Noce gherigli,Unità,9
Noce in gherigli,Manciata,1
Noce moscata,Unità,129
Noce moscata grattigiata,Pizzico,1
Noce moscata grattugiata,Cucchiaino,19
Noce moscata grattugiata fresca,Unità,4
Noce moscata in polvere,Cucchiaino,6
Noce moscata macinata,Cucchiaino,2
Noce moscata macinata fresca,Unità,17
Noci,Unità,31
"Noci  pecan, a pezzetti",g,1
Noci brasiliane sgusciate,g,1
Noci del Brasile tritate,g,1
Noci di Macadamia,g,2
Noci di cocco (fiocco),Cucchiai,1
Noci e mandorle sgusciate,g,2
Noci gherigi,g,2
Noci gherigli,g,36
Noci gherigli tostati,g,1
Noci pecan,g,2
Noci pecan o mandorle,g,1
Noci sgusciate,g,4
Noci tritate,g,4
Noodles,g,3
Noodles di frumento,g,2
Noodles di riso,g,1
Noodles precotti,g,2
Nutella,g,24
Olio,Cucchiai,81
Olio  Di Semi Di Arachide per friggere,Unità,3
Olio  Extravergine D'Oliva,Unità,1
Olio  di oliva,ml,1
Olio  di semi,ml,1
Olio  di sesamo,Cucchiaio,3
Olio  extravergine di oliva,Unità,3
Olio Di Semi Di Arachide o di riso,ml,2
Olio EVO,Unità,1
Olio Extravergine D'Oliva,Unità,7
Olio Extravergine di oliva,Unità,4
Olio alimentare di arancia,goccia,1
Olio cocco oppure olio di semi,g,1
Olio di arachide,Unità,6
Olio di arachide per friggere,l,2
Olio di arachidi,lt,2
Olio di arachidi o di girasole,Unità,2
Olio di cocco,Cucchiaino,1
Olio di nocciola,Cucchiai,1
Olio di oliva,ml,25
Olio di riso,ml,5
Olio di semi,Unità,191
Olio di semi d'arachide,Unità,2
Olio di semi di Girasole,Unità,4
Olio di semi di arachide,lt,37
Olio di semi di girasole,ml,19
Olio di semi di mais,Unità,8
Olio di semi di mais per friggere,Unità,1
Olio di semi di sesamo,Cucchiai,35
Olio di semi per friggere,lt,124
Olio di semi per fritture,Unità,1
Olio di semi pre friggere,Unità,1
Olio di semi spremuto a freddo,ml,2
Olio di semi tostato,Cucchiaino,1
"Olio di semi, per spennellare",Unità,2
Olio di sesamo,Cucchiaio,8
Olio evo,Unità,151
Olio evo delicato,Unità,2
Olio extra vergine di oliva,ml,1
Olio extravergine,Unità,16
Olio extravergine d oliva,Unità,5
Olio extravergine d'oliva,Cucchiai,4
Olio extravergine di oiliva,Cucchiai,2
Olio extravergine di olica,Unità,3
Olio extravergine di oliv,Unità,1
Olio extravergine di oliva,Unità,1596
Olio extravergine di oliva aromatizzato alla menta,Cucchiai,3
Olio extravergine di oliva delicato,ml,3
Olio extravergine di oliva di Castelvetrano,Cucchiai,3
Olio extravergine di oliva per spennellare,Unità,1
Olio extravergine di olvia,Unità,2
Olio extravergine dioliva,Unità,4
Olio per friggere,lt,25
Olio per frittura,Unità,2
Olio per la padella,Unità,1
Olio per ungere la teglia,Unità,1
Olio ìdi semi,g,1
Oliva,Unità,2
Oliva  taggiasche dnocciolate,Cucchiaio,1
Oliva barese in salamoia,Unità,1
Oliva denocciolate sottolio,Cucchiaio,1
Oliva in salamoia,Cucchiaio,1
Oliva kalamon,Manciata,3
Oliva nera,Unità,3
Oliva nere,Unità,3
Oliva nere denocciolate,Unità,3
Oliva nere secche,Manciata,2
Oliva taggiasche sottolio,Manciata,1
Oliva verdi,Unità,1
Oliva verdi  farcite,Unità,2
Olive,g,6
Olive del Piceno DOP,g,3
Olive di Gaeta,Unità,1
Olive greche nere,g,3
Olive nera denocciolata,g,5
Olive nere,ml,31
Olive nere denocciolate,Cucchiai,33
Olive nere e verdi,Unità,1
Olive nere essiccate (o infornate),g,2
Olive nere intere,g,1
Olive nere taggiasche denocciolate,g,1
Olive taggiasche,Cucchiai,7
Olive taggiasche denocciolate,g,7
Olive teaggiasche,g,1
Olive verde denocciolata,g,1
Olive verdi,Unità,8
Olive verdi denocciolate,g,2
Olive verdi o nere,g,1
Orata,Filetto,3
Orata da circa 400 g,Unità,2
Orata da circa 450 g,Unità,1
Orata di circa 500 gr,Unità,1
Orata monoporzione,Unità,1
Orata piccola,Unità,1
Orecchiette,g,3
Oreo,Unità,4
Origano,Rametto,73
Origano essiccato,Cucchiaino,6
Origano fresco,Mazzetto,7
Origano fresco tritato,Cucchiai,4
"Origano fresco, solo le foglie",g,1
Origano in polvere,Cucchiaino,1
Origano secco,Cucchiaino,39
Origano tritato,Cucchiaio,1
Orzo,g,6
Orzo decorticato,g,2
Orzo perlato,g,6
Ossa,Unità,2
Ossobuco,Unità,2
Ossobuco di tacchino,Unità,1
Ossobuco di vitello,Unità,1
Ossobuco grossi,Unità,2
Ovetto confettati colorati,Unità,1
Ovetto di cioccolato,Unità,1
Paccheri,g,6
Pagnotta di grano duro,Unità,4
Pajata,g,1
Pak choi,fettina,3
Palombo,g,4
Pan di Spagna,g,2
Pancarrè,Fette,25
Pancarrè a fette rettangolari senza crosta,Confezione,1
Pancarrè integrale,Fette,1
"Pancarrè o pane casereccio, solo la mollica",Fette,1
Pancetta,g,24
Pancetta  affumicata a dadini,g,1
Pancetta  dolce a cubetti,g,1
Pancetta a cubetti,g,11
Pancetta a fette,Unità,1
Pancetta affettata,g,3
Pancetta affumicata,g,18
Pancetta di maiale,g,1
Pancetta dolce,g,2
Pancetta dolce a dadini,g,3
Pancetta dolce tesa affettata,g,1
Pancetta fresca,Fette,4
Pancetta stagionata,g,1
Pancetta steccata,g,2
Pancetta stesa,Fetta,1
Pancetta tesa,g,5
Pandoro,Fette,5
Pandoro a cubetti,g,1
Pandoro raffermo,Fette,1
Pane,Fette,13
Pane  casereccio o baguette,Fette,1
Pane  in cassetta,Fette,1
Pane  tipo Puccia fresco,g,1
Pane (panino raffermo),Unità,3
Pane a cassetta,Unità,4
Pane ai 5 cereali,Fetta,1
Pane ai semi,Unità,2
Pane al latte,Unità,1
Pane alle noci,Unità,1
Pane ammollato nel latte,g,2
Pane bianco per tramezzini,Fette,3
Pane brioche,Fette,1
Pane carasau,Unità,6
Pane casereccio,Fette,17
Pane casereccio a fette,Unità,2
Pane casereccio raffermo,Fette,4
Pane casereccio raffremo,Fette,1
Pane casereccio senza crosta,g,1
Pane casereccio tostato,Unità,2
Pane cotto in forno a legna,Unità,1
Pane da hamburger,Unità,1
Pane da hot dog,Unità,2
Pane da tramezzini,Fette,1
Pane da tramezzini bianco,Fette,1
Pane da tramezzino senza crosta,g,2
Pane grattato,Cucchiai,3
Pane grattuggiato,Unità,2
Pane grattugiato,Cucchiai,2
Pane in cassetta,Fette,5
Pane in cassetta integrale,g,1
Pane integrale,Unità,2
Pane integrale a cassetta,Fetta,1
Pane integrale raffermo,Fette,3
Pane mollica,Cucchiai,10
Pane mollica grattugiata di pane raffermo,Unità,1
Pane mollica rafferma,g,2
Pane nero,Unità,3
Pane per burger,Unità,2
Pane per crostini,Unità,1
Pane per hamburger,Unità,4
Pane pita,Unità,1
Pane raffermo,Fette,39
"Pane raffermo, solo la mollica",g,1
Pane rustico,Fette,2
Pane senza sale,Fette,1
Pane solo la  mollica,Fetta,2
Pane tipo baguette,unità,4
Pane tipo burger buns,Unità,1
Pane tipo casereccio,Fetta,1
Pane tipo topolino,Unità,1
Pane toscano,Fette,4
Pane toscano raffermo,g,10
Panettone,Fette,8
Panettone monoporzione,Unità,2
Panettone salato,Unità,1
Pangrattato,Unità,295
Pangrattato senza glutine,Cucchiai,2
Pangrattato tostato,g,2
Panini,Unità,3
Panini da hamburger,Unità,2
Panini tipo burger buns,Unità,1
Panko,g,5
Panna,ml,38
Panna  fresca,ml,2
Panna  fresca liquida,g,1
Panna  liquida fresca,ml,1
Panna Montata già zuccherata,g,1
Panna acida,g,15
Panna da cucina,ml,8
Panna da montare,ml,4
Panna da montare zuccherata,g,1
Panna di soia,ml,2
Panna fresca,ml,71
Panna fresca liquida,g,4
Panna fresca liquida da montare,g,1
Panna fresca montata non zuccherata,g,1
Panna fresca semimontata,ml,1
Panna liqudia,ml,2
Panna liquida,Cucchiaio,176
Panna liquida da montare,ml,1
Panna liquida fresca,ml,4
Panna liquida zuccherata,ml,1
Panna montata,g,9
Panna montata e zuccherata,Unità,1
Panna o gelato fior di latte,Unità,1
Panna per dolci,ml,1
Panna semi montata,ml,1
Panna vegetale,ml,3
Panna vegetale da montare,ml,1
Panna vegetale zuccherata,g,1
Papacella dolce,Unità,1
Papacella piccante,Unità,1
Papaia,Fette,2
Papavero semi,g,5
Paprika,Pizzico,25
Paprika affumicata,Cucchiaino,8
Paprika affumicata in polvere,Cucchiaino,1
Paprika affumitata,Cucchiaino,1
Paprika dolce,Unità,37
Paprika dolce in polvere,Cucchiaino,1
Paprika in polvere,Cucchiaino,3
Parmigiano,g,51
Parmigiano  Reggiano,g,2
Parmigiano  Reggiano grattugiato,Cucchiai,1
Parmigiano Grana Padano,g,4
Parmigiano Grana Padano grattugiato,g,2
Parmigiano Reggiano,Cucchiai,18
Parmigiano Reggiano  grattugiato più qualche scaglia per decorare,Cucchiai,1
Parmigiano Reggiano (scorze),Unità,1
Parmigiano Reggiano grattugiato,g,15
Parmigiano Reggiano in scaglie,g,2
Parmigiano Reggiano o formaggio affinato nel fieno,g,1
Parmigiano Reggiano solo le croste,g,3
Parmigiano grattuggiato,Cucchiai,5
Parmigiano grattugiato,g,22
Parmigiano reggiano,g,13
Parmigiano reggiano a scaglie,Cucchiaio,5
Parmigiano reggiano gragttigiato,Cucchiaio,2
Parmigiano reggiano grattigiato,g,3
Parmigiano reggiano gratttugiato,g,1
Parmigiano reggiano grattufiato,g,5
Parmigiano reggiano grattugiato,g,481
Parmigiano reggiano grattugiato 30 mesi,g,2
Parmigiano reggiano gratutrato,Cucchiai,1
Parmigiano reggiano stagionato 30 mesi,g,1
Parmigiano rwggiano grattugiato,g,2
Passito di Pantelleria,Bicchiere,1
Pasta,g,52
Pasta  corta,g,2
Pasta  gnocchi di riso cinesi,g,1
Pasta  tipo farfalle,g,1
Pasta  tipo pappardelle fresche,g,1
Pasta  tipo penne Agnesi,g,1
Pasta a cottura lunga,g,1
Pasta all'uovo,g,7
Pasta all'uovo per lasagne,Foglio,2
"Pasta all'uovo, tipo lasagne",g,1
Pasta brisé,rotolo,11
Pasta brisé rotonda,rotolo,1
Pasta brisé tonda,rotolo,2
Pasta calamarata,g,1
Pasta calamari,g,2
Pasta cannelloni,g,1
Pasta confezione di lasagne pronte,Unità,1
Pasta corta,g,47
Pasta corta a piacere,g,3
Pasta corta senza glutine,g,2
Pasta corta tipo penne,g,1
Pasta corta tipo spaghetti,g,1
"Pasta corta, tipo sedanini",g,2
Pasta di acciughe,g,1
Pasta di grano duro,g,1
Pasta di grano duro corta,g,1
Pasta di mandorle,g,1
Pasta di pistacchio,Cucchiai,1
Pasta di tipo Linguine,g,1
Pasta di tipo mezzi paccheri rigati,g,1
Pasta di vaniglia,Cucchiaino,1
Pasta di zucchero,g,2
Pasta di zucchero bianca,g,1
Pasta di zucchero verde,g,1
Pasta fettuccine all'uovo,g,1
Pasta fillo,Foglio,10
Pasta fregola sarda,g,2
Pasta fresca all'uovo,g,2
Pasta fresca all'uovo per lasagne,g,1
Pasta fresca per lasagne,g,2
Pasta frolla,g,1
Pasta frolla base di 20 cm di diametro già cotta,Unità,1
Pasta integrale corta,g,2
Pasta integrale tipo orecchiette,g,2
Pasta kataifi,g,2
Pasta mista di grano duro,g,1
Pasta per brodo,g,1
Pasta rustica,g,1
Pasta secca per lasagne,g,2
Pasta secca per lasagne in fogli,g,1
Pasta sfoglia,rotolo,68
Pasta sfoglia all'uovo,g,3
Pasta sfoglia all'uovo fresca,g,1
Pasta sfoglia arrotolata già pronta,g,2
Pasta sfoglia confezioni rettangolari,Unità,1
Pasta sfoglia già pronta,Unità,2
Pasta sfoglia integrale,g,1
Pasta sfoglia per lasagne,Unità,4
Pasta sfoglia rettangolare,rotolo,7
Pasta sfoglia rotolo,Unità,1
Pasta sfoglia tonda,rotolo,2
Pasta sfoglie per lasagne,g,2
Pasta spaghetti,g,2
Pasta tagliatelle all'uovo,g,1
Pasta tipo aneletti,g,2
Pasta tipo bucatini,g,4
Pasta tipo calamarata,g,3
Pasta tipo caserecce,g,1
Pasta tipo cavatelli,g,1
Pasta tipo conchiglioni,g,1
Pasta tipo fettuccine,g,2
Pasta tipo linguine,g,10
Pasta tipo maccheroni,g,1
Pasta tipo paccheri,g,4
Pasta tipo paccheri di Gragnano,g,2
Pasta tipo penne,g,6
Pasta tipo rigatoni,g,2
Pasta tipo spaghetti,g,36
Pasta tipo spaghetti alla chitarra,g,7
Pasta tipo spaghetti o linguine,g,1
Pasta tipo tagliatelle,g,1
Patata,Unità,39
Patata farinose,kg,1
Patata grande,Unità,1
Patata grossa (o due piccole),Unità,1
Patata lesse,kg,1
Patata rossa,kg,2
Patate,g,197
Patate  dolci americane,Unità,1
Patate (peso al netto degli scarti dopo la cottura),g,1
Patate al netto degli scarti,g,11
Patate americane dolci,Unità,1
Patate bollita,g,1
Patate bollite,g,1
Patate da gnocchi,g,1
Patate di media grandezza,Unità,3
Patate di medie dimensioni,Unità,7
Patate dolce lessata,g,1
Patate gialla,g,1
Patate gialle o bianche,g,2
Patate gialle sode,g,2
Patate grandi,Unità,7
Patate grosse,Scatoletta,4
Patate lessa,kg,3
Patate lessate,g,2
Patate lesse,g,6
Patate media grandezza,Unità,1
Patate medie,Unità,12
Patate medie già bollite,Unità,2
"Patate medio-piccole, da fare con la buccia",Spicchio,1
Patate novella,g,3
Patate novella a pasta rossa,g,1
Patate novelle,g,3
Patate novelle biologiche,g,2
Patate novelle piccole,g,1
Patate piccola,Unità,1
Patate piccole,Unità,1
Patate rosse,g,1
Patate sbucciate,g,1
Patate vecchie di medie dimensioni,Unità,1
Patè di oliva,Cucchiaino,1
Patè di oliva nere,g,1
Pecorino,g,21
Pecorino  Romano grattugiato,g,1
Pecorino Romano grattugiato,Cucchiai,1
Pecorino fiore sardo 10 mesi,g,1
Pecorino fresco,g,1
Pecorino grattugiato,Cucchiai,69
Pecorino romani,Cucchiai,1
Pecorino romano,g,3
Pecorino romano grattugiato,Cucchiai,26
Pecorino sardo,g,2
Pecorino sardo DOP,g,2
Pecorino semi stagionato,Fette,3
Pecorino stagionato grattugiato,Cucchiai,1
Pecorino toscano,Unità,1
Pecorino toscano semi stagionato,Unità,1
Pelati,Lattina,7
Pelati sgocciolati,Unità,2
Penna per decorazioni al cioccolato,Unità,2
Penne,g,6
Pepe,Unità,179
Pepe  rosa in grani,Unità,2
Pepe bianco,Unità,6
Pepe bianco macinato,g,2
Pepe bianco macinato fresco,g,2
Pepe della Giamaica,Unità,2
Pepe di Giamaica in polvere,Cucchiaino,1
Pepe di Sichuan,Cucchiaino,5
Pepe di Sichuan bacche,Cucchiaino,3
Pepe in grani,Unità,3
Pepe lungo,bacca,1
Pepe macinato,Unità,3
Pepe macinato al momento,Pizzico,4
Pepe macinato fresco,Unità,17
Pepe nero,Unità,255
Pepe nero amcinato fresco,Unità,1
Pepe nero della MAlesia,Unità,2
Pepe nero di Sarawak,Cucchiaino,1
Pepe nero grattugiato,Unità,2
Pepe nero in grani,Unità,13
Pepe nero macinato,Unità,441
Pepe nero macinato al momento,Unità,2
Pepe nero macinato fresco,Unità,89
Pepe nero marinato,Unità,2
Pepe nero vaccinato,Unità,1
"Pepe nero, macinato fresco",Unità,114
Pepe rosa,Unità,20
Pepe rosa in bacche,Cucchiaio,1
Pepe rosa in grani,Cucchiaino,11
Pepe rosa macinato,Unità,1
Pepe rosa macinato fresco,Unità,1
Pepe rosso e nero in grani,Unità,1
Pepe verde,g,1
Peperoncino,Unità,103
Peperoncino (opzionale),Unità,3
Peperoncino Chipotles,Cucchiaino,2
Peperoncino a scaglie,Unità,4
Peperoncino arancione peruviano,Unità,2
Peperoncino essiccato,Unità,1
Peperoncino facoltativo,Unità,4
Peperoncino freschi,Unità,4
Peperoncino freschi piccanti,Unità,1
Peperoncino fresco,Unità,25
Peperoncino fresco o secco,Unità,1
Peperoncino in fiocchi,Cucchiaino,1
Peperoncino in fiocchi per servire,Unità,1
Peperoncino in pasta,Cucchiaino,1
Peperoncino in polvere,Pizzico,3
Peperoncino in scaglie,Unità,6
Peperoncino jalapeno,Unità,4
Peperoncino la punta di un,Unità,2
Peperoncino nero,Unità,2
Peperoncino piccolo,unità,2
Peperoncino piccolo essiccato,Unità,2
Peperoncino piccolo secco,Unità,2
Peperoncino rosso frantumato,Unità,1
Peperoncino rosso thai,Unità,2
Peperoncino secchi,Unità,2
Peperoncino secco,Unità,44
Peperoncino secco a scaglie,Unità,6
Peperoncino secco in scaglie,Pizzico,5
Peperoncino tritato,Unità,1
Peperoncino verde,Unità,2
Peperoncino verde piccante,Unità,2
Peperoncino verdi e rossi freschi,Unità,2
Peperone,Fetta,57
Peperone friggitelli,Unità,1
Peperone friggitelli grandi,g,3
Peperone friggitello,Unità,2
Peperone giallo,Unità,43
Peperone già arrostiti,g,1
Peperone rossi,Unità,6
Peperone rossi e gialli,Unità,4
Peperone rosso,Unità,51
Peperone rosso dolce essiccato,g,1
"Peperone rosso, giallo e verde",Unità,1
Peperone verde,Unità,14
Pera,Unità,13
Pera IGP dell'Emilia Romagna,Unità,1
Pera Kaiser,Unità,2
Pera William,Unità,1
Pera Williams rosse,Unità,3
Pera abate,Unità,1
Pera al netto degli scarti,g,1
"Pera clementine, barbabietole, carote, zenzero, mirtilli, ananas, erbe aromatiche fresche, erbe di campo (achillea, equiseto...)",Unità,1
Pera decana,Unità,1
Pera di Agerola,g,1
Pera medie,Unità,1
Pera williams,Unità,1
Pesca,Unità,25
Pesca al netto degli scarti,g,1
Pesca bianca matura,Unità,1
Pesca bianche,Unità,1
Pesca nettarina di Romagna,Unità,1
Pesca nettarine,Unità,4
Pesca nettarine IGP,Unità,1
Pesca noce,Unità,1
Pesca noci,Unità,1
Pesca sciroppate,Barattolo,1
"Pesce (calamari, gamberi, vongole, salmone)",g,1
Pesce Persico,g,1
Pesce Spada,Filetto,13
Pesce Spada affumicato in carpaccio,g,1
Pesce filetto già privo di scarti,g,1
Pesce in filetti,g,1
"Pesce misto (tonno, salmone e gamberi)",Unità,2
Pesce misto abbattuto,Unità,3
Pesce misto pulito,g,3
Pesce persico,g,1
Pesce persico a filetti,g,2
Pesto,Cucchiai,4
Pesto alla Genovese,Cucchiai,1
Pesto alla genovese,g,3
Pesto alla genovese pronto,Cucchiai,1
Pesto genovese,g,2
Philadelphia,g,20
Piadina,Unità,4
Piedino di maiale,Unità,1
Pinoli,g,66
Pinoli tostati,g,2
Piselli,g,32
Piselli (freschi o surgelati),g,1
Piselli Gialli (Dhal),g,2
Piselli baccelli,g,1
Piselli fini,g,2
Piselli fini surgelati,g,1
Piselli finissimi,g,1
Piselli freschi,g,9
Piselli freschi al netto degli scarti,g,1
Piselli freschi già sgranati,g,3
Piselli freschi o surgelati,Unità,3
Piselli freschi sgranati,g,2
Piselli già lessati,g,3
Piselli già lessi,g,3
Piselli già sgranati,g,4
Piselli in scatola sgocciolati,g,1
Piselli lessi,g,1
Piselli secchi spezzati,g,3
Piselli sgranati,g,5
Piselli sgusciati,g,1
Piselli surgelati,g,19
Piselli trifolati,g,1
Pisellini,g,1
Pistacchi,g,10
Pistacchi (granella),g,1
Pistacchi (ridotti a farina),Cucchiai,1
Pistacchi crema,g,3
Pistacchi di Bronte,g,4
Pistacchi farina,g,2
Pistacchi granella,g,5
Pistacchi in crema,g,1
Pistacchi in granella,g,1
Pistacchi interi non salati e in granella,g,1
Pistacchi pelati e non salati,g,1
Pistacchi salati e tostati,g,2
Pistacchi sbucciati non salati,g,1
Pistacchi sbucciato,Manciata,2
Pistacchi sgusciati e non salati,Cucchiai,2
Pistacchi solo il furtto,g,2
Pistacchi tritati,g,4
Pistacchi tritati grossolanamente,g,3
Pistacchio,Manciata,1
Pistacchio  in granella,Unità,1
Pistacchio crema,Unità,1
Pistacchio granella,Unità,13
Pistacchio in granella,Unità,1
Pistacchio tostati,Unità,1
Pisto,g,1
Pizzoccheri,g,2
Platano,Unità,1
Platessa filetti,Unità,1
Polenta,g,1
Polenta ben soda,g,1
Polenta bramata,g,1
Polipetti,g,2
Pollo,Unità,17
Pollo (petti),g,1
Pollo a pezzi,kg,2
Pollo alette,kg,1
Pollo ali,kg,3
Pollo cosce,Unità,4
Pollo coscia e sovra coscia,Unità,1
Pollo disossato a pezzi,kg,1
Pollo fegatini,g,2
Pollo filetto,Unità,2
Pollo frattaglie,g,1
Pollo fusi,Unità,2
Pollo intero,g,1
Pollo intero disossato,Unità,1
Pollo intero in pezzi,kg,1
Pollo macinato,g,5
Pollo petti,g,17
Pollo petto,g,33
Pollo petto a fette,g,4
Pollo petto a fette spesse,Fette,1
Pollo sovra cosce,Unità,1
Pollo sovra coscia disossata,g,1
Pollo sovracosce,g,1
Polpetta di carne al sugo,Unità,1
Polpo,kg,8
Polpo eviscerato,g,1
Polpo piccoli,g,3
Pomodori,Unità,34
Pomodori  camone,Unità,1
Pomodori  datterini,g,2
Pomodori  datterini gialli,Unità,1
Pomodori  secchi sott'olio,Unità,1
Pomodori  tondi maturi,Unità,3
"Pomodori (polpa, opzionale)",g,2
Pomodori Camone,g,2
Pomodori Pachino,Unità,6
Pomodori Piccadilly,Unità,2
Pomodori San Marzano,g,4
Pomodori San Marzano maturi,g,1
Pomodori San Marzano pelati,g,1
Pomodori a grappolo,Unità,5
Pomodori bucce essiccate,Manciata,1
Pomodori ciliegia,Unità,4
Pomodori ciliegieni,Unità,1
Pomodori ciliegini,Unità,27
Pomodori ciliegino,Unità,104
Pomodori ciliegino giallo,Unità,2
Pomodori ciliegino o datterino,g,3
Pomodori ciligino,Unità,3
Pomodori concentrato,Cucchiai,14
Pomodori concertato,Cucchiai,1
Pomodori concetrato,Cucchiai,4
Pomodori cuore di bue,Unità,3
Pomodori da sugo,g,1
Pomodori datterini,Unità,2
Pomodori datterini confit,g,2
Pomodori datterino,g,12
Pomodori datterino giallo,Unità,2
Pomodori del Piennolo,Unità,1
Pomodori di tipo ciliegino,Unità,1
Pomodori freschi e maturi,kg,1
Pomodori fresco,g,2
Pomodori gialli,Unità,1
Pomodori gialli e rossi,Unità,1
Pomodori grandi,Unità,1
Pomodori maturi,Unità,14
Pomodori maturi da sugo,g,1
Pomodori maturo,kg,5
Pomodori medi,Unità,3
Pomodori pachino,Unità,5
Pomodori passata,ml,157
Pomodori passata a pezzettoni,ml,1
Pomodori pelati,g,49
Pomodori pelati sgocciolati,Unità,2
Pomodori pelato a cubetti,g,1
Pomodori pelato sgocciolati,g,1
Pomodori perini,Unità,1
Pomodori perlati,g,2
Pomodori piccadilly,g,1
Pomodori piccadilly o ciliegino,Unità,3
Pomodori polpa,g,13
Pomodori polpa in cubetti,g,1
Pomodori pomodorini,Unità,1
Pomodori ramati,Unità,1
Pomodori ramati maturi,g,1
Pomodori ramato,g,4
Pomodori rossi,Unità,2
Pomodori salsa,Cucchiai,7
Pomodori san marzano maturi,unità,2
Pomodori secchi,Unità,11
Pomodori secchi sott'olio,Unità,1
Pomodori secchi sottolio,Unità,16
Pomodori secco,g,3
Pomodori secco sottolio,Unità,1
Pomodori semisecchi,Unità,2
Pomodori succo,ml,2
Pomodori tipo Pomodorini,g,2
Pomodori tipo pachino,Unità,1
Pomodori tondi rossi,Unità,2
Pomodori verde,Unità,3
Pomodori verdi,Unità,4
Pomodoro,Unità,17
Pomodoro  confit,Unità,1
Pomodoro Pachino,Unità,1
Pomodoro San Marzano,kg,2
Pomodoro alcune fette per farcire,Unità,1
Pomodoro ciliegini,Unità,3
Pomodoro ciliegino,Unità,8
Pomodoro ciliegino o datterino,kg,2
Pomodoro concentrato,Cucchiaio,21
Pomodoro concetrato,Cucchiaino,4
Pomodoro costoluto,Unità,1
Pomodoro cuore di bue,Unità,2
Pomodoro fresco,Unità,2
Pomodoro insalataro,Unità,2
Pomodoro maturi,kg,5
Pomodoro passata,Unità,16
Pomodoro pelati,Scatola,6
Pomodoro pelato,Unità,3
Pomodoro peliati,Scatola,1
Pomodoro salsa,Unità,1
